esecuzione,bleu_score,avg_time
0,49.77924405730524,3.800240338084255
1,49.77924405730524,2.9007015718301767
2,49.77924405730524,2.96770052994664
3,49.77924405730524,3.079245459892062
4,49.77924405730524,3.040491869798291
5,49.77924405730524,2.970843315595695
6,49.77924405730524,2.954855857159309
6,49.77924405730524,2.927353454672772
7,49.77924405730524,2.9253898001471055
8,49.77924405730524,2.9182130583661348
9,49.77924405730524,2.9192854929347285
10,49.77924405730524,2.915844341982966
11,49.77924405730524,2.9136212310300986
12,49.77924405730524,2.9195467888602153
13,49.77924405730524,2.9260600371794268
14,49.77924405730524,2.922127048017479
