esecuzione,avg_wer,avg_time,avg_accuracy
0,0.12746901081231524,8.995813429907516,0.8725309891876848
1,0.12746901081231524,9.530782679716745,0.8725309891876848
2,0.12746901081231524,10.134958435539845,0.8725309891876848
3,0.12746901081231524,9.874168444010946,0.8725309891876848
4,0.12746901081231524,9.835913720506209,0.8725309891876848
5,0.12746901081231524,9.741800992577165,0.8725309891876848
6,0.12746901081231524,9.842020007747191,0.8725309891876848
7,0.12746901081231524,9.898237905016652,0.8725309891876848
8,0.12746901081231524,9.948305548341185,0.8725309891876848
9,0.12746901081231524,10.016770526766777,0.8725309891876848
10,0.12746901081231524,10.047760654930714,0.8725309891876848
11,0.12746901081231524,9.754025247361925,0.8725309891876848
12,0.12746901081231524,9.909286404649416,0.8725309891876848
13,0.12746901081231524,9.974819995738843,0.8725309891876848
14,0.12746901081231524,9.878914620037433,0.8725309891876848
