entry,wer,time,accuracy
0,11.636363636363637,16.268390655517578,-10.636363636363637
1,9.846153846153847,10.9699125289917,-8.846153846153847
2,11.130434782608695,10.834227800369263,-10.130434782608695
3,8.827586206896552,11.433978796005249,-7.827586206896552
4,18.285714285714285,11.225444078445435,-17.285714285714285
5,18.285714285714285,11.901756286621094,-17.285714285714285
6,11.130434782608695,12.192445993423462,-10.130434782608695
7,9.846153846153847,12.674947261810303,-8.846153846153847
8,12.8,11.937867641448975,-11.8
9,13.473684210526315,11.920169115066528,-12.473684210526315
10,14.222222222222221,11.614653825759888,-13.222222222222221
11,23.272727272727273,11.289011001586914,-22.272727272727273
12,7.314285714285714,12.310401916503906,-6.314285714285714
13,6.2439024390243905,12.68117356300354,-5.2439024390243905
14,9.142857142857142,12.435161590576172,-8.142857142857142
15,9.846153846153847,13.107502460479736,-8.846153846153847
16,9.481481481481481,13.217435359954834,-8.481481481481481
17,8.827586206896552,12.911091566085815,-7.827586206896552
18,7.314285714285714,12.559350490570068,-6.314285714285714
19,16.0,11.491815090179443,-15.0
20,12.8,11.970316410064697,-11.8
21,25.6,11.550862312316895,-24.6
22,10.666666666666666,12.739962816238403,-9.666666666666666
23,8.0,12.087198734283447,-7.0
24,9.846153846153847,12.220624923706055,-8.846153846153847
25,19.692307692307693,11.37647795677185,-18.692307692307693
26,6.7368421052631575,15.29023790359497,-5.7368421052631575
27,12.19047619047619,12.232621192932129,-11.19047619047619
28,8.258064516129032,12.503984451293945,-7.258064516129032
29,15.058823529411764,11.957883834838867,-14.058823529411764
30,13.473684210526315,11.777693748474121,-12.473684210526315
31,8.533333333333333,12.187938451766968,-7.533333333333333
32,7.757575757575758,12.302588939666748,-6.757575757575758
33,13.473684210526315,12.27463674545288,-12.473684210526315
34,12.19047619047619,13.478418588638306,-11.19047619047619
35,14.222222222222221,11.635631322860718,-13.222222222222221
36,12.19047619047619,12.100361108779907,-11.19047619047619
37,3.6056338028169015,15.524083375930786,-2.6056338028169015
38,12.8,11.692667961120605,-11.8
39,8.0,14.55151081085205,-7.0
40,15.058823529411764,11.556092262268066,-14.058823529411764
41,10.666666666666666,12.71741795539856,-9.666666666666666
42,10.24,14.149115085601807,-9.24
43,3.6056338028169015,15.780344009399414,-2.6056338028169015
44,8.827586206896552,13.141566276550293,-7.827586206896552
45,8.827586206896552,12.756947994232178,-7.827586206896552
46,10.666666666666666,12.25545048713684,-9.666666666666666
47,13.473684210526315,11.701279163360596,-12.473684210526315
48,15.058823529411764,12.24108099937439,-14.058823529411764
49,12.8,11.759779214859009,-11.8
50,6.564102564102564,15.298627614974976,-5.564102564102564
51,9.846153846153847,12.233431339263916,-8.846153846153847
52,7.111111111111111,15.430703401565552,-6.111111111111111
53,7.314285714285714,12.50331425666809,-6.314285714285714
54,7.529411764705882,12.790314197540283,-6.529411764705882
55,8.827586206896552,13.94517970085144,-7.827586206896552
56,10.24,11.936578035354614,-9.24
57,12.8,12.01091718673706,-11.8
58,7.111111111111111,15.112354755401611,-6.111111111111111
59,9.481481481481481,11.9163658618927,-8.481481481481481
60,13.473684210526315,11.915451526641846,-12.473684210526315
61,12.8,12.118598937988281,-11.8
62,11.636363636363637,12.250510692596436,-10.636363636363637
63,17.066666666666666,12.212413787841797,-16.066666666666666
64,17.066666666666666,11.946128845214844,-16.066666666666666
65,12.19047619047619,11.994239330291748,-11.19047619047619
66,11.636363636363637,12.839022636413574,-10.636363636363637
67,16.0,12.467116594314575,-15.0
68,7.314285714285714,12.333105564117432,-6.314285714285714
69,7.529411764705882,13.96430778503418,-6.529411764705882
70,7.529411764705882,14.46556568145752,-6.529411764705882
71,7.111111111111111,14.620563268661499,-6.111111111111111
72,10.24,12.666817665100098,-9.24
73,18.285714285714285,12.170104265213013,-17.285714285714285
74,21.333333333333332,11.42298173904419,-20.333333333333332
75,12.8,12.001419305801392,-11.8
76,6.4,13.53004264831543,-5.4
77,21.333333333333332,12.078516721725464,-20.333333333333332
78,12.8,12.3582603931427,-11.8
79,9.846153846153847,12.850481033325195,-8.846153846153847
80,16.0,11.760064363479614,-15.0
81,8.258064516129032,12.389601945877075,-7.258064516129032
82,9.846153846153847,12.528918981552124,-8.846153846153847
83,12.8,11.837915658950806,-11.8
84,36.57142857142857,11.385329008102417,-35.57142857142857
85,8.533333333333333,13.440426588058472,-7.533333333333333
86,11.636363636363637,11.96101188659668,-10.636363636363637
87,7.111111111111111,15.376466274261475,-6.111111111111111
88,13.473684210526315,12.410163879394531,-12.473684210526315
89,12.19047619047619,13.103623151779175,-11.19047619047619
90,12.19047619047619,12.937440633773804,-11.19047619047619
91,18.285714285714285,11.821839570999146,-17.285714285714285
92,12.19047619047619,12.785288572311401,-11.19047619047619
93,10.24,12.531840324401855,-9.24
94,13.473684210526315,11.727161645889282,-12.473684210526315
95,6.2439024390243905,13.487033367156982,-5.2439024390243905
96,17.066666666666666,12.899088144302368,-16.066666666666666
97,12.19047619047619,12.396709442138672,-11.19047619047619
98,15.058823529411764,13.273950576782227,-14.058823529411764
99,11.130434782608695,11.911686420440674,-10.130434782608695
100,11.130434782608695,12.764923572540283,-10.130434782608695
101,12.19047619047619,12.362696647644043,-11.19047619047619
102,10.666666666666666,13.5736563205719,-9.666666666666666
103,8.533333333333333,13.018266439437866,-7.533333333333333
104,9.481481481481481,12.920860052108765,-8.481481481481481
105,15.058823529411764,12.322996139526367,-14.058823529411764
106,10.24,13.022783517837524,-9.24
107,9.846153846153847,12.114953994750977,-8.846153846153847
108,10.24,12.375625371932983,-9.24
