entry,wer,time,accuracy
0,0.4090909090909091,1.3983385562896729,0.5909090909090908
1,0.2692307692307692,1.2695155143737793,0.7307692307692308
2,0.17391304347826086,1.1875560283660889,0.8260869565217391
3,0.27586206896551724,1.278076171875,0.7241379310344828
4,0.35714285714285715,1.050489902496338,0.6428571428571428
5,0.2857142857142857,1.0922856330871582,0.7142857142857143
6,0.34782608695652173,1.2358477115631104,0.6521739130434783
7,0.23076923076923078,1.4706792831420898,0.7692307692307692
8,0.3,1.198760986328125,0.7
9,0.47368421052631576,1.199577808380127,0.5263157894736843
10,0.4444444444444444,1.2228138446807861,0.5555555555555556
11,0.45454545454545453,1.1027042865753174,0.5454545454545454
12,0.11428571428571428,1.4660868644714355,0.8857142857142857
13,0.36585365853658536,1.474679708480835,0.6341463414634146
14,0.17857142857142858,1.566359043121338,0.8214285714285714
15,0.19230769230769232,1.6712007522583008,0.8076923076923077
16,0.2222222222222222,1.7806684970855713,0.7777777777777778
17,0.27586206896551724,2.1146299839019775,0.7241379310344828
18,0.34285714285714286,2.0043246746063232,0.6571428571428571
19,0.1875,1.3922502994537354,0.8125
20,0.2,1.5449914932250977,0.8
21,0.5,1.3196847438812256,0.5
22,0.20833333333333334,1.5398669242858887,0.7916666666666666
23,0.15625,1.66438627243042,0.84375
24,0.23076923076923078,1.672102928161621,0.7692307692307692
25,0.38461538461538464,1.3825654983520508,0.6153846153846154
26,0.15789473684210525,1.771695852279663,0.8421052631578947
27,0.3333333333333333,1.5204768180847168,0.6666666666666667
28,0.41935483870967744,1.7308762073516846,0.5806451612903225
29,0.5882352941176471,1.540945291519165,0.4117647058823529
30,0.15789473684210525,1.470546007156372,0.8421052631578947
31,0.36666666666666664,1.7164733409881592,0.6333333333333333
32,0.18181818181818182,1.7502148151397705,0.8181818181818181
33,0.15789473684210525,1.5322515964508057,0.8421052631578947
34,0.09523809523809523,1.5854158401489258,0.9047619047619048
35,0.2777777777777778,1.4609425067901611,0.7222222222222222
36,0.42857142857142855,1.5272040367126465,0.5714285714285714
37,0.23943661971830985,3.174877405166626,0.7605633802816901
38,0.35,1.5159966945648193,0.65
39,0.34375,1.9121510982513428,0.65625
40,0.11764705882352941,1.3957717418670654,0.8823529411764706
41,0.20833333333333334,1.563978910446167,0.7916666666666666
42,0.08,1.6244566440582275,0.92
43,0.19718309859154928,3.084362030029297,0.8028169014084507
