esecuzione,avg_wer,avg_time,avg_accuracy
0,0.28481677768191865,3.0004990741058633,0.7151832223180813
0,0.28481677768191865,3.009447447127766,0.7151832223180813
1,0.28481677768191865,3.055786476642997,0.7151832223180813
2,0.28481677768191865,3.065138633052508,0.7151832223180813
3,0.28481677768191865,3.0674566792117224,0.7151832223180813
4,0.28481677768191865,3.0715558523381197,0.7151832223180813
5,0.28481677768191865,3.0694021190758103,0.7151832223180813
6,0.28481677768191865,3.069524599446191,0.7151832223180813
7,0.28481677768191865,3.0696824242671332,0.7151832223180813
8,0.28481677768191865,3.0707477745082645,0.7151832223180813
9,0.28481677768191865,3.0720481944304927,0.7151832223180813
10,0.28481677768191865,3.0719279094978615,0.7151832223180813
11,0.28481677768191865,3.070135971462285,0.7151832223180813
12,0.28481677768191865,3.0714998250758208,0.7151832223180813
13,0.28481677768191865,3.0705625668719962,0.7151832223180813
14,0.28481677768191865,3.0717289160799095,0.7151832223180813
