modello,avg_wer,avg_time,avg_accuracy
whisper-base,0.2595826356051451,1.0430445056430178,0.740417364394855
whispercpp,0.2731802624244113,3.10274343766229,0.7268197375755887
Faster-base,0.4366234853167859,0.13992355545132146,0.5633765146832141
whisper_base_api,0.25604234896696004,1.6360762891052776,0.7439576510330399
whispercpp_base_cmd,0.2731802624244113,3.3859387364690705,0.7268197375755887
