entry,wer,time,accuracy
0,0.045454545454545456,0.25924015045166016,0.9545454545454546
1,0.07692307692307693,0.26645517349243164,0.9230769230769231
2,0.43478260869565216,0.2549252510070801,0.5652173913043479
3,0.5517241379310345,0.2656083106994629,0.4482758620689655
4,0.07142857142857142,0.25701308250427246,0.9285714285714286
5,0.07142857142857142,0.2603015899658203,0.9285714285714286
6,0.34782608695652173,0.2637653350830078,0.6521739130434783
7,0.11538461538461539,0.2716665267944336,0.8846153846153846
8,0.3,0.26961469650268555,0.7
9,0.10526315789473684,0.26488804817199707,0.8947368421052632
10,0.2222222222222222,0.2558867931365967,0.7777777777777778
11,0.09090909090909091,0.25538063049316406,0.9090909090909091
12,0.08571428571428572,0.272611141204834,0.9142857142857143
13,0.5853658536585366,0.27655601501464844,0.41463414634146345
14,0.03571428571428571,0.26270508766174316,0.9642857142857143
15,0.34615384615384615,0.2692127227783203,0.6538461538461539
16,0.1111111111111111,0.2753877639770508,0.8888888888888888
17,0.034482758620689655,0.27959513664245605,0.9655172413793104
18,0.7714285714285715,0.26505184173583984,0.22857142857142854
19,0.1875,0.26932191848754883,0.8125
20,0.05,0.2619166374206543,0.95
21,0.1,0.2558908462524414,0.9
22,0.041666666666666664,0.27393555641174316,0.9583333333333334
23,0.09375,0.2727029323577881,0.90625
24,0.5769230769230769,0.27275848388671875,0.42307692307692313
25,0.07692307692307693,0.2539997100830078,0.9230769230769231
26,0.02631578947368421,0.2966494560241699,0.9736842105263158
27,0.19047619047619047,0.266948938369751,0.8095238095238095
28,0.03225806451612903,0.27421116828918457,0.967741935483871
29,0.11764705882352941,0.2724030017852783,0.8823529411764706
30,0.10526315789473684,0.2650418281555176,0.8947368421052632
31,0.6666666666666666,0.2635011672973633,0.33333333333333337
32,0.6363636363636364,0.28371381759643555,0.36363636363636365
33,0.10526315789473684,0.2637786865234375,0.8947368421052632
34,0.047619047619047616,0.2659273147583008,0.9523809523809523
35,0.16666666666666666,0.2538917064666748,0.8333333333333334
36,0.047619047619047616,0.2521975040435791,0.9523809523809523
37,0.8169014084507042,0.2968571186065674,0.18309859154929575
38,0.2,0.2565174102783203,0.8
39,0.1875,0.2868783473968506,0.8125
40,0.11764705882352941,0.259981632232666,0.8823529411764706
41,0.75,0.267650842666626,0.25
42,0.04,0.281360387802124,0.96
43,0.8169014084507042,0.299238920211792,0.18309859154929575
44,0.034482758620689655,0.26955270767211914,0.9655172413793104
45,0.6551724137931034,0.27324724197387695,0.3448275862068966
46,0.041666666666666664,0.2643141746520996,0.9583333333333334
47,0.21052631578947367,0.2641909122467041,0.7894736842105263
48,0.058823529411764705,0.2568373680114746,0.9411764705882353
49,0.05,0.261791467666626,0.95
50,0.6153846153846154,0.2827737331390381,0.3846153846153846
51,0.0,0.26076841354370117,1.0
52,0.5,0.2851383686065674,0.5
53,0.4857142857142857,0.2623870372772217,0.5142857142857142
54,0.058823529411764705,0.27603578567504883,0.9411764705882353
55,0.6551724137931034,0.2818286418914795,0.3448275862068966
56,0.44,0.2591879367828369,0.56
57,0.1,0.2634880542755127,0.9
58,0.3611111111111111,0.29012584686279297,0.6388888888888888
59,0.5925925925925926,0.25473594665527344,0.40740740740740744
60,0.3157894736842105,0.25905299186706543,0.6842105263157895
61,0.1,0.2540278434753418,0.9
62,0.22727272727272727,0.2617502212524414,0.7727272727272727
63,0.3333333333333333,0.2653684616088867,0.6666666666666667
64,0.06666666666666667,0.2586369514465332,0.9333333333333333
65,0.23809523809523808,0.2629058361053467,0.7619047619047619
66,0.36363636363636365,0.26097655296325684,0.6363636363636364
67,0.1875,0.2599647045135498,0.8125
68,0.08571428571428572,0.2630770206451416,0.9142857142857143
69,0.8529411764705882,0.2807338237762451,0.1470588235294118
70,0.11764705882352941,0.27855348587036133,0.8823529411764706
71,0.7222222222222222,0.28188514709472656,0.2777777777777778
72,0.04,0.2636904716491699,0.96
73,0.14285714285714285,0.25699925422668457,0.8571428571428572
74,0.3333333333333333,0.2501492500305176,0.6666666666666667
75,0.1,0.26528406143188477,0.9
76,0.1,0.2758197784423828,0.9
77,0.08333333333333333,0.2572178840637207,0.9166666666666666
78,0.15,0.2540397644042969,0.85
79,0.5,0.2682063579559326,0.5
80,0.0625,0.25165724754333496,0.9375
81,0.03225806451612903,0.26077961921691895,0.967741935483871
82,0.07692307692307693,0.26801443099975586,0.9230769230769231
83,0.7,0.2633934020996094,0.30000000000000004
84,0.42857142857142855,0.254117488861084,0.5714285714285714
85,0.1,0.268704891204834,0.9
86,0.09090909090909091,0.2579643726348877,0.9090909090909091
87,0.5,0.2900419235229492,0.5
88,0.05263157894736842,0.2611241340637207,0.9473684210526316
89,0.047619047619047616,0.26889657974243164,0.9523809523809523
90,0.23809523809523808,0.2638735771179199,0.7619047619047619
91,0.2857142857142857,0.25101590156555176,0.7142857142857143
92,0.3333333333333333,0.26569509506225586,0.6666666666666667
93,0.04,0.26206445693969727,0.96
94,0.10526315789473684,0.25919365882873535,0.8947368421052632
95,0.7073170731707317,0.27350544929504395,0.29268292682926833
96,0.06666666666666667,0.2677774429321289,0.9333333333333333
97,0.14285714285714285,0.273287296295166,0.8571428571428572
98,0.058823529411764705,0.2739129066467285,0.9411764705882353
99,0.5217391304347826,0.24031662940979004,0.4782608695652174
100,0.08695652173913043,0.2689340114593506,0.9130434782608696
101,0.2857142857142857,0.2624502182006836,0.7142857142857143
102,0.125,0.2571592330932617,0.875
103,0.5333333333333333,0.2739102840423584,0.4666666666666667
104,0.6666666666666666,0.2698478698730469,0.33333333333333337
105,0.11764705882352941,0.267073392868042,0.8823529411764706
106,0.04,0.26503491401672363,0.96
107,0.38461538461538464,0.26128363609313965,0.6153846153846154
108,0.04,0.2616086006164551,0.96
109,0.2,0.2546389102935791,0.8
110,0.0625,0.25542235374450684,0.9375
111,0.6428571428571429,0.28807950019836426,0.3571428571428571
112,0.06666666666666667,0.2531147003173828,0.9333333333333333
113,0.041666666666666664,0.26569342613220215,0.9583333333333334
114,0.1,0.2612433433532715,0.9
115,0.05555555555555555,0.26342129707336426,0.9444444444444444
116,0.782608695652174,0.26398134231567383,0.21739130434782605
117,0.7073170731707317,0.2794816493988037,0.29268292682926833
118,0.5862068965517241,0.2727024555206299,0.4137931034482759
119,0.1,0.2667574882507324,0.9
120,0.7,0.2668325901031494,0.30000000000000004
121,0.6333333333333333,0.264376163482666,0.3666666666666667
122,0.6052631578947368,0.28595614433288574,0.39473684210526316
123,0.15,0.2602424621582031,0.85
124,0.36363636363636365,0.2639644145965576,0.6363636363636364
125,0.6071428571428571,0.2589237689971924,0.3928571428571429
126,0.7435897435897436,0.28231096267700195,0.2564102564102564
127,0.7222222222222222,0.2816050052642822,0.2777777777777778
