esecuzione,avg_wer,avg_time,avg_accuracy
0,0.26086776031686326,1.547108070836591,0.7391322396831368
1,0.2617293072477744,1.578038925931633,0.7382706927522256
2,0.25948873471818446,1.5737752478935816,0.7405112652818155
3,0.2600089659320573,1.5729798237023327,0.7399910340679428
4,0.2606365464440309,1.5787561940319965,0.7393634535559691
5,0.259629114569547,1.5748385583734237,0.740370885430453
6,0.259629114569547,1.5776420935040953,0.740370885430453
7,0.25948873471818446,1.5777673018461018,0.7405112652818155
8,0.2595713111013389,1.5749840639919215,0.7404286888986612
9,0.2627945425904663,1.5786795166875585,0.7372054574095336
0,0.27348912364513134,1.554187853027273,0.7265108763548688
1,0.2731419014229091,11.987261974701175,0.7268580985770909
2,0.27360486438587206,1.5627141561773088,0.7263951356141278
3,0.2739190178250255,1.5737893807667274,0.7260809821749745
4,0.27479534057634825,1.576769165970661,0.7252046594236516
5,0.27325764216364984,1.5802876436048083,0.7267423578363501
6,0.27601888554989323,1.5806124684987244,0.7239811144501068
7,0.2730261606821684,1.5807166513469484,0.7269738393178315
8,0.2747126686186763,1.579598742502707,0.7252873313813237
9,0.2733568485128562,1.5806513511472278,0.7266431514871438
10,0.27372060512661284,1.586933641522019,0.7262793948733872
11,0.2740182241742319,1.580044882165061,0.7259817758257681
12,0.2734725892535969,1.5860394261501454,0.726527410746403
13,0.2734725892535969,1.5736739072534773,0.726527410746403
14,0.27292695433296205,1.5710455361339781,0.727073045667038
