esecuzione,bleu_score,avg_time
0,31.101473708063242,0.6076783888895992
1,31.101473708063242,0.6009867214873845
2,31.101473708063242,0.6240326142593806
3,31.101473708063242,0.6272056616342114
4,31.101473708063242,0.6303182058183572
5,31.101473708063242,0.6315993574768187
6,31.101473708063242,0.6319100526952932
7,31.101473708063242,0.6336402134461836
8,31.101473708063242,0.634755633565277
9,31.101473708063242,0.6347945240646483
10,31.101473708063242,0.6356485328184286
11,31.101473708063242,0.6354406388851965
12,31.101473708063242,0.6433646622382605
13,31.101473708063242,0.6345349870651606
14,31.101473708063242,0.634993843410326
