entry,wer,time,accuracy
0,0.4090909090909091,1.5548491477966309,0.5909090909090908
1,0.23076923076923078,2.7960143089294434,0.7692307692307692
2,0.17391304347826086,1.592099905014038,0.8260869565217391
3,0.1724137931034483,1.6882328987121582,0.8275862068965517
4,0.2857142857142857,2.729445457458496,0.7142857142857143
5,0.6428571428571429,5.587812185287476,0.3571428571428571
6,0.391304347826087,3.5136590003967285,0.6086956521739131
7,0.23076923076923078,3.7010598182678223,0.7692307692307692
8,0.35,2.0464589595794678,0.65
9,0.2631578947368421,3.379523515701294,0.736842105263158
10,0.3333333333333333,2.0105628967285156,0.6666666666666667
11,0.45454545454545453,1.7924838066101074,0.5454545454545454
12,0.08571428571428572,2.3085179328918457,0.9142857142857143
13,0.3902439024390244,2.3748607635498047,0.6097560975609756
14,0.21428571428571427,3.634934425354004,0.7857142857142857
15,0.15384615384615385,3.579453468322754,0.8461538461538461
16,0.2962962962962963,2.1432015895843506,0.7037037037037037
17,0.27586206896551724,2.434741258621216,0.7241379310344828
18,0.22857142857142856,2.4282851219177246,0.7714285714285715
19,0.1875,1.8451154232025146,0.8125
20,0.2,2.044672966003418,0.8
21,0.5,3.237065315246582,0.5
22,0.08333333333333333,3.4735782146453857,0.9166666666666666
23,0.1875,2.169342279434204,0.8125
24,0.3076923076923077,3.6215150356292725,0.6923076923076923
25,0.23076923076923078,1.84128737449646,0.7692307692307692
26,0.15789473684210525,2.1499319076538086,0.8421052631578947
27,0.23809523809523808,1.9469974040985107,0.7619047619047619
28,0.45161290322580644,3.6407651901245117,0.5483870967741935
29,0.6470588235294118,1.997875690460205,0.3529411764705882
30,0.3684210526315789,4.410411834716797,0.631578947368421
31,0.4,3.698610782623291,0.6
32,0.12121212121212122,2.2850043773651123,0.8787878787878788
33,0.21052631578947367,3.457627773284912,0.7894736842105263
34,0.14285714285714285,3.546099901199341,0.8571428571428572
35,0.2222222222222222,1.9159879684448242,0.7777777777777778
36,0.47619047619047616,3.461125612258911,0.5238095238095238
37,0.2112676056338028,4.6595845222473145,0.7887323943661972
38,0.45,2.0385098457336426,0.55
39,0.375,2.485468864440918,0.625
40,0.11764705882352941,3.359851121902466,0.8823529411764706
41,0.3333333333333333,3.5843453407287598,0.6666666666666667
42,0.04,2.175902843475342,0.96
43,0.16901408450704225,6.277522563934326,0.8309859154929577
44,0.1724137931034483,3.634902238845825,0.8275862068965517
45,0.27586206896551724,3.6334946155548096,0.7241379310344828
46,0.2916666666666667,3.509061813354492,0.7083333333333333
47,0.2631578947368421,3.4709861278533936,0.736842105263158
48,0.058823529411764705,3.402747869491577,0.9411764705882353
49,0.3,3.466106653213501,0.7
50,0.3076923076923077,2.6412973403930664,0.6923076923076923
51,0.23076923076923078,2.2540578842163086,0.7692307692307692
